mae,max_abs,mse,n_values,rmse,task,time_group
0.0007444929147756488,0.04125010967254639,1.6482122362985182e-06,59392,0.0012838271831903693,PnPNovelFromPlateToPanSplitA,t04_07
0.0006926314578021612,0.019492387771606445,1.169851302650586e-06,59392,0.0010815966450810515,PnPNovelFromPlateToPanSplitA,t08_11
0.0007254980874243577,0.011563688516616821,1.2912149060482393e-06,59392,0.0011363163758602792,PnPNovelFromPlateToPanSplitA,t12_15
0.0012026995195019343,0.029801826924085617,3.723970388699773e-06,59392,0.0019297591530291476,PnPNovelFromPlateToPlateSplitA,t00_03
0.0007417085459796772,0.024204760789871216,1.4331112163153191e-06,59392,0.0011971262324063068,PnPNovelFromPlateToPlateSplitA,t04_07
0.0006825743654153847,0.013622492551803589,1.129116223293564e-06,59392,0.0010625988063674662,PnPNovelFromPlateToPlateSplitA,t08_11
0.0007190686054594727,0.01138526201248169,1.2400007332019263e-06,59392,0.0011135532017833394,PnPNovelFromPlateToPlateSplitA,t12_15
0.0012056765453247282,0.055991947650909424,4.173066978927636e-06,59392,0.002042808600659307,PnPNovelFromTrayToCardboardboxSplitA,t00_03
0.0007732108592415737,0.058563947677612305,2.1729550512752907e-06,59392,0.0014740946547882503,PnPNovelFromTrayToCardboardboxSplitA,t04_07
0.0006887795879576515,0.019542867317795753,1.1776284365597719e-06,59392,0.0010851858995396925,PnPNovelFromTrayToCardboardboxSplitA,t08_11
0.0007124322716452832,0.010680489242076874,1.1982104257506516e-06,59392,0.0010946279850938636,PnPNovelFromTrayToCardboardboxSplitA,t12_15
0.0013769376669538575,0.08261096477508545,6.1546118341634865e-06,59392,0.0024808490147857623,PnPNovelFromTrayToPlateSplitA,t00_03
0.0007359236158772193,0.02203887701034546,1.4837641351367246e-06,59392,0.0012180985736535137,PnPNovelFromTrayToPlateSplitA,t04_07
0.000685459510322368,0.01036456972360611,1.1224167005258112e-06,59392,0.0010594416928391157,PnPNovelFromTrayToPlateSplitA,t08_11
0.0006970307912260605,0.010718822479248047,1.166740721135564e-06,59392,0.0010801577297485604,PnPNovelFromTrayToPlateSplitA,t12_15
0.001197535009639533,0.036623477935791016,3.900570813599806e-06,59392,0.0019749862818763592,PnPNovelFromTrayToPotSplitA,t00_03
0.0007157523187075053,0.015279531478881836,1.3014396238357363e-06,59392,0.0011408065672302804,PnPNovelFromTrayToPotSplitA,t04_07
0.0006704184779990372,0.010362595319747925,1.0625788837750995e-06,59392,0.001030814669945621,PnPNovelFromTrayToPotSplitA,t08_11
0.0007093674841173985,0.013354446738958359,1.1981827660473485e-06,59392,0.0010946153507270708,PnPNovelFromTrayToPotSplitA,t12_15
0.0012581638132151732,0.05873525142669678,4.86763854028977e-06,59392,0.0022062725444264067,PnPNovelFromTrayToTieredbasketSplitA,t00_03
0.0007450086069708022,0.060473501682281494,1.921952213364491e-06,59392,0.0013863449113999341,PnPNovelFromTrayToTieredbasketSplitA,t04_07
0.0006813643122610029,0.039491236209869385,1.212699790304951e-06,59392,0.0011012264936446775,PnPNovelFromTrayToTieredbasketSplitA,t08_11
0.0007012991010472645,0.026887357234954834,1.1927189918333485e-06,59392,0.0010921167482615347,PnPNovelFromTrayToTieredbasketSplitA,t12_15
0.0012294142498934847,0.04132944345474243,4.110401972624273e-06,59392,0.002027412630084037,PnPNovelFromTrayToTieredshelfSplitA,t00_03
0.0007293593140931484,0.022695094347000122,1.481780231871777e-06,59392,0.0012172839569598282,PnPNovelFromTrayToTieredshelfSplitA,t04_07
0.0006777732446743825,0.012174306437373161,1.112659040405422e-06,59392,0.0010548265451748083,PnPNovelFromTrayToTieredshelfSplitA,t08_11
0.0007064560330339902,0.014798581600189209,1.215099843809133e-06,59392,0.0011023156733935761,PnPNovelFromTrayToTieredshelfSplitA,t12_15
0.004283490588642084,0.12242394685745239,6.816452126625648e-05,59392,0.008256180791761799,PnPPotatoToMicrowaveClose,t00_03
0.0011135877838591827,0.06312799453735352,7.034349210076254e-06,59392,0.0026522347577234285,PnPPotatoToMicrowaveClose,t04_07
0.0010783353063224131,0.061435580253601074,6.612855045257956e-06,59392,0.002571547208444355,PnPPotatoToMicrowaveClose,t08_11
0.0011696580025714858,0.12195754051208496,9.606552795182385e-06,59392,0.003099443949353236,PnPPotatoToMicrowaveClose,t12_15
0.004509590782401074,0.11876481771469116,8.437991488113554e-05,59392,0.00918585406378392,PnPWineToCabinetClose,t00_03
0.0011721262048832,0.06138211488723755,5.631569798348662e-06,59392,0.0023730928760477667,PnPWineToCabinetClose,t04_07
0.0011446721286176853,0.06261581182479858,6.940130884786974e-06,59392,0.0026344128159396306,PnPWineToCabinetClose,t08_11
0.0011827718890942676,0.11068487167358398,7.626925128319219e-06,59392,0.0027616888181544313,PnPWineToCabinetClose,t12_15
