group,mae,max_abs,mse,n_values,rmse,task
hands,0.0016382906935064057,0.1361425518989563,3.9073610584069447e-05,98304,0.006250888783530663,PnPMilkToMicrowaveClose
left_arm,0.0017150594784146125,0.041764289140701294,7.218350645288528e-06,57344,0.00268669883784702,PnPMilkToMicrowaveClose
left_hand,0.0020864076639478903,0.13133925199508667,6.190150744245792e-05,49152,0.007867751104506162,PnPMilkToMicrowaveClose
right_arm,0.001998890296913406,0.047412727028131485,9.864523294839477e-06,57344,0.0031407838663046325,PnPMilkToMicrowaveClose
right_hand,0.0011901737230649208,0.1361425518989563,1.6245713725680947e-05,49152,0.0040305971921888875,PnPMilkToMicrowaveClose
waist,0.002327874223494083,0.03185676038265228,1.3317366786937556e-05,24576,0.0036492967523808688,PnPMilkToMicrowaveClose
arms,0.0012193151424191942,0.05054497718811035,3.1689354387422887e-06,114688,0.0017801503977873017,PnPNovelFromCuttingboardToBasketSplitA
hands,0.0003568921827139526,0.05875393748283386,1.2452660332627622e-06,98304,0.0011159148862089627,PnPNovelFromCuttingboardToBasketSplitA
left_arm,0.0010855712812790788,0.05054497718811035,2.615783674278516e-06,57344,0.0016173384538427683,PnPNovelFromCuttingboardToBasketSplitA
left_hand,0.00037658483830297723,0.05875393748283386,1.3198694230339086e-06,49152,0.001148855701571746,PnPNovelFromCuttingboardToBasketSplitA
right_arm,0.0013530590035593093,0.03642457723617554,3.7220872032060634e-06,57344,0.0019292711585482388,PnPNovelFromCuttingboardToBasketSplitA
right_hand,0.000337199527124928,0.03167777881026268,1.1706626434916126e-06,49152,0.0010819716463436612,PnPNovelFromCuttingboardToBasketSplitA
waist,0.0013875882684703338,0.05064833164215088,4.3096242972652794e-06,24576,0.0020759634624109547,PnPNovelFromCuttingboardToBasketSplitA
arms,0.0012276407099193992,0.05633808299899101,3.2803450041162573e-06,114688,0.0018111722734506118,PnPNovelFromCuttingboardToCardboardboxSplitA
hands,0.00034542147779936805,0.07437443733215332,1.3269304776498685e-06,98304,0.0011519246840179563,PnPNovelFromCuttingboardToCardboardboxSplitA
left_arm,0.0010860137881019455,0.05633808299899101,2.596330816359037e-06,57344,0.0016113133824179073,PnPNovelFromCuttingboardToCardboardboxSplitA
left_hand,0.0003631570375376055,0.07437443733215332,1.5440127907520517e-06,49152,0.001242583112211031,PnPNovelFromCuttingboardToCardboardboxSplitA
right_arm,0.0013692676317368527,0.049125269055366516,3.964359191873479e-06,57344,0.0019910698611232806,PnPNovelFromCuttingboardToCardboardboxSplitA
right_hand,0.0003276859180611306,0.05063970386981964,1.1098481645476834e-06,49152,0.0010534933149041257,PnPNovelFromCuttingboardToCardboardboxSplitA
waist,0.0013891252326014107,0.05220937728881836,4.625635017195231e-06,24576,0.00215072895019229,PnPNovelFromCuttingboardToCardboardboxSplitA
