mae,max_abs,mse,n_values,phase,rmse,task
0.0038286878126231826,0.08289045095443726,4.931824921302579e-05,2784,traj_q1,0.007022695295470663,PnPNovelFromCuttingboardToCardboardboxSplitA
0.0030168275839843836,0.025483496487140656,2.3006389095940986e-05,1392,traj_q2,0.004796497586358299,PnPNovelFromCuttingboardToCardboardboxSplitA
0.0037629926086626894,0.04054853320121765,4.14248152842233e-05,1392,traj_q3,0.006436211252299236,PnPNovelFromCuttingboardToCardboardboxSplitA
0.0039633421002094864,0.030670244246721268,3.663351890703466e-05,1856,traj_q4,0.00605256300314459,PnPNovelFromCuttingboardToCardboardboxSplitA
0.004661646841449165,0.05678544193506241,6.304879968807045e-05,928,traj_q1,0.007940327429525211,PnPNovelFromCuttingboardToPanSplitA
0.003135010886249816,0.03330828249454498,2.505540693553822e-05,4176,traj_q3,0.005005537627022518,PnPNovelFromCuttingboardToPanSplitA
0.0031340600166694112,0.031292349100112915,2.4642833179104772e-05,2320,traj_q4,0.004964154830291333,PnPNovelFromCuttingboardToPanSplitA
0.00407939779830778,0.08338909596204758,6.082166595442041e-05,1392,traj_q1,0.0077988246521139585,PnPNovelFromCuttingboardToPotSplitA
0.0033384103837055716,0.019998371601104736,2.9150457546690735e-05,464,traj_q2,0.005399116367211466,PnPNovelFromCuttingboardToPotSplitA
0.003956593465752132,0.03225347399711609,4.365869822882568e-05,1392,traj_q3,0.006607472907914619,PnPNovelFromCuttingboardToPotSplitA
0.002758475365250724,0.027424216270446777,2.0249147290871433e-05,4176,traj_q4,0.004499905253543838,PnPNovelFromCuttingboardToPotSplitA
0.00430299919540191,0.08110976219177246,7.022549555133998e-05,2784,traj_q1,0.008380065366770117,PnPNovelFromCuttingboardToTieredbasketSplitA
0.0031733404455986476,0.028667986392974854,2.9321257257963365e-05,928,traj_q2,0.00541491064173393,PnPNovelFromCuttingboardToTieredbasketSplitA
0.00299437048817771,0.032457441091537476,2.265094709004505e-05,1856,traj_q3,0.0047593011136137465,PnPNovelFromCuttingboardToTieredbasketSplitA
0.0025423076122337834,0.021670609712600708,1.564710395226475e-05,1856,traj_q4,0.0039556420404612885,PnPNovelFromCuttingboardToTieredbasketSplitA
0.0034392972449683746,0.05128615349531174,3.640208419213646e-05,2320,traj_q1,0.00603341397486833,PnPNovelFromPlacematToBasketSplitA
0.0030264835800435635,0.029196368530392647,2.5067842676270653e-05,2320,traj_q2,0.005006779671232863,PnPNovelFromPlacematToBasketSplitA
0.0027778137374329603,0.020229637622833252,1.895601551976981e-05,1856,traj_q3,0.004353850654279475,PnPNovelFromPlacematToBasketSplitA
0.0031858448592488302,0.05200415849685669,2.9699254713088367e-05,928,traj_q4,0.00544970225912282,PnPNovelFromPlacematToBasketSplitA
0.0035310552537067587,0.07111846655607224,4.328264261652532e-05,2784,traj_q1,0.00657895452306256,PnPNovelFromPlacematToBowlSplitA
0.0054292438416551105,0.031608402729034424,7.21759094434481e-05,464,traj_q2,0.00849564061407073,PnPNovelFromPlacematToBowlSplitA
0.0029493984600086494,0.025853311643004417,2.206883370212051e-05,928,traj_q3,0.00469774772653029,PnPNovelFromPlacematToBowlSplitA
0.00353901145873741,0.044903140515089035,3.4655929068468716e-05,3248,traj_q4,0.005886928661744485,PnPNovelFromPlacematToBowlSplitA
0.0038567085912604698,0.07019137591123581,4.8572197479020836e-05,1856,traj_q1,0.006969375687894923,PnPNovelFromPlacematToPlateSplitA
0.0033475824683685865,0.032728567719459534,2.968961001692545e-05,2320,traj_q2,0.0054488173044180375,PnPNovelFromPlacematToPlateSplitA
0.002807200106213588,0.023639217019081116,2.024199577113103e-05,928,traj_q3,0.004499110553335074,PnPNovelFromPlacematToPlateSplitA
0.0026479608283462483,0.018744230270385742,1.703479949553578e-05,2320,traj_q4,0.004127323526879833,PnPNovelFromPlacematToPlateSplitA
0.002983698742170359,0.06682625412940979,2.598009863683824e-05,4176,traj_q1,0.005097067650800629,PnPNovelFromPlacematToTieredshelfSplitA
0.00340930537264473,0.028782011941075325,2.9865526753508697e-05,928,traj_q2,0.005464936116141588,PnPNovelFromPlacematToTieredshelfSplitA
0.002942063340792786,0.026372641324996948,2.2948379402163845e-05,2320,traj_q4,0.004790446680860131,PnPNovelFromPlacematToTieredshelfSplitA
0.003493849899753294,0.08938524127006531,4.1313278100540286e-05,2784,traj_q1,0.006427540595013017,PnPNovelFromPlateToBowlSplitA
0.0039120510142969704,0.038998980075120926,4.104449889185448e-05,1392,traj_q2,0.006406598074786218,PnPNovelFromPlateToBowlSplitA
0.0025207067119481508,0.015219934284687042,1.7152418365097653e-05,464,traj_q3,0.004141547822384483,PnPNovelFromPlateToBowlSplitA
0.003216986266187601,0.04259638488292694,2.9196134434557073e-05,2784,traj_q4,0.005403344745114555,PnPNovelFromPlateToBowlSplitA
0.0037418379707277977,0.038362860679626465,3.809922070624203e-05,928,traj_q1,0.006172456618417178,PnPNovelFromPlateToCardboardboxSplitA
