mae,max_abs,mse,n_values,rmse,task,time_group
0.003275652762912896,0.03406240791082382,2.8578275272114923e-05,1856,0.005345865250089542,PnPNovelFromCuttingboardToTieredbasketSplitA,t00_03
0.00387305263104971,0.08110976219177246,6.848215602941859e-05,1856,0.008275394614724943,PnPNovelFromCuttingboardToTieredbasketSplitA,t04_07
0.003340227975247123,0.052809715270996094,3.6378070058559624e-05,1856,0.006031423551580474,PnPNovelFromCuttingboardToTieredbasketSplitA,t08_11
0.003088913747103953,0.03099093586206436,2.4858421638208294e-05,1856,0.004985822062429454,PnPNovelFromCuttingboardToTieredbasketSplitA,t12_15
0.0028676302828961496,0.02841857075691223,2.1027571339279185e-05,1856,0.004585582987939395,PnPNovelFromPlacematToBasketSplitA,t00_03
0.0030640275226060426,0.05128615349531174,2.9422842077558627e-05,1856,0.005424282632529266,PnPNovelFromPlacematToBasketSplitA,t04_07
0.0032120613370415383,0.05200415849685669,3.125624964188105e-05,1856,0.005590728900767864,PnPNovelFromPlacematToBasketSplitA,t08_11
0.0033092430557785674,0.029196368530392647,2.893638840310403e-05,1856,0.005379255376267614,PnPNovelFromPlacematToBasketSplitA,t12_15
0.0036387045971298057,0.07111846655607224,4.2976556227933426e-05,1856,0.006555650709726185,PnPNovelFromPlacematToBowlSplitA,t00_03
0.0039055470163883253,0.061333730816841125,4.71041558564029e-05,1856,0.00686324674308034,PnPNovelFromPlacematToBowlSplitA,t04_07
0.003549567344572128,0.04022793099284172,3.659872385479999e-05,1856,0.006049687913834894,PnPNovelFromPlacematToBowlSplitA,t08_11
0.0032280441656784486,0.029996054247021675,2.7970798067394198e-05,1856,0.005288742579044115,PnPNovelFromPlacematToBowlSplitA,t12_15
0.0032641863700236767,0.05216553434729576,2.9096485815166976e-05,1856,0.0053941158511072946,PnPNovelFromPlacematToPlateSplitA,t00_03
0.0033526526764850635,0.07019137591123581,3.939679246005784e-05,1856,0.006276686423588312,PnPNovelFromPlacematToPlateSplitA,t04_07
0.0030553015851402395,0.032728567719459534,2.4387961340640718e-05,1856,0.004938416886071964,PnPNovelFromPlacematToPlateSplitA,t08_11
0.0030825971336118276,0.027841463685035706,2.4217467639297378e-05,1856,0.004921124631555004,PnPNovelFromPlacematToPlateSplitA,t12_15
0.002989700325527118,0.034090496599674225,2.44765790137426e-05,1856,0.004947381025728926,PnPNovelFromPlacematToTieredshelfSplitA,t00_03
0.002928751930681003,0.06682625412940979,2.618034365191168e-05,1856,0.005116673103874399,PnPNovelFromPlacematToTieredshelfSplitA,t04_07
0.0032197670600375016,0.03633400797843933,2.8900259753999547e-05,1856,0.0053758961814751914,PnPNovelFromPlacematToTieredshelfSplitA,t08_11
0.0029573347159510314,0.02211993932723999,2.251627714269135e-05,1856,0.0047451319415471845,PnPNovelFromPlacematToTieredshelfSplitA,t12_15
0.0034150014704123505,0.03158548101782799,3.174936973539194e-05,1856,0.005634657907574508,PnPNovelFromPlateToBowlSplitA,t00_03
0.0035189409213201325,0.08938524127006531,4.353335067436262e-05,1856,0.006597980802818588,PnPNovelFromPlateToBowlSplitA,t04_07
0.003201198897057048,0.03993874788284302,3.118691417240845e-05,1856,0.005584524525186406,PnPNovelFromPlateToBowlSplitA,t08_11
0.0034953278988315763,0.04259638488292694,3.4365962980648294e-05,1856,0.005862248969520852,PnPNovelFromPlateToBowlSplitA,t12_15
0.003648137671132582,0.038362860679626465,3.6165949424403296e-05,1856,0.006013813218283662,PnPNovelFromPlateToCardboardboxSplitA,t00_03
0.0036242114125688485,0.040664345026016235,3.718821623721321e-05,1856,0.006098214184268474,PnPNovelFromPlateToCardboardboxSplitA,t04_07
0.0031850159021532503,0.027916505932807922,2.6842702286520216e-05,1856,0.0051809943337664645,PnPNovelFromPlateToCardboardboxSplitA,t08_11
0.003767764597482867,0.04327118396759033,3.857980096731703e-05,1856,0.006211264039413961,PnPNovelFromPlateToCardboardboxSplitA,t12_15
0.003857122364871461,0.08040161430835724,4.808438929693941e-05,1856,0.00693429082869614,PnPNovelFromPlateToPanSplitA,t00_03
0.003823068287946908,0.05738523602485657,4.58082306606447e-05,1856,0.006768177794698119,PnPNovelFromPlateToPanSplitA,t04_07
0.0035447083514711644,0.04794052243232727,3.586494077844277e-05,1856,0.005988734488891854,PnPNovelFromPlateToPanSplitA,t08_11
0.0035228076565795947,0.04778808355331421,3.301664491668561e-05,1856,0.005746011217939416,PnPNovelFromPlateToPanSplitA,t12_15
0.00348229207128466,0.046806126832962036,3.560379266276321e-05,1856,0.005966891373467696,PnPNovelFromPlateToPlateSplitA,t00_03
0.0036381986881773125,0.07105055451393127,4.4954767616781604e-05,1856,0.006704831662076357,PnPNovelFromPlateToPlateSplitA,t04_07
0.0031256678092898347,0.03145798668265343,2.6064780193339536e-05,1856,0.005105367782377635,PnPNovelFromPlateToPlateSplitA,t08_11
0.00320896568603624,0.0300503671169281,2.6814495996208346e-05,1856,0.0051782715259252625,PnPNovelFromPlateToPlateSplitA,t12_15
0.002871903640347039,0.024116158485412598,2.055819419887804e-05,1856,0.004534114488946882,PnPNovelFromTrayToCardboardboxSplitA,t00_03
0.0034758626018879897,0.11087790131568909,5.69265937825277e-05,1856,0.007544971423572637,PnPNovelFromTrayToCardboardboxSplitA,t04_07
0.0028758805889585095,0.04377451539039612,2.4491270549106416e-05,1856,0.004948865582040637,PnPNovelFromTrayToCardboardboxSplitA,t08_11
0.0029795913872100034,0.026460230350494385,2.254664435102558e-05,1856,0.00474833069099295,PnPNovelFromTrayToCardboardboxSplitA,t12_15
