group,mae,max_abs,mse,n_values,rmse,task
right_arm,0.0059792473800501155,0.03240805119276047,5.863632584383075e-05,1792,0.007657435983658679,PnPNovelFromCuttingboardToPanSplitA
right_hand,0.0005097517686181163,0.0048291683197021484,6.169365026115142e-07,1536,0.000785453055638282,PnPNovelFromCuttingboardToPanSplitA
waist,0.0038888731020657965,0.021014004945755005,2.5803730777158066e-05,768,0.005079737274422572,PnPNovelFromCuttingboardToPanSplitA
arms,0.005570397797027583,0.08338909596204758,5.98793815785708e-05,3584,0.007738176889847556,PnPNovelFromCuttingboardToPotSplitA
hands,0.0003955260464181265,0.00686269998550415,4.2607892337597026e-07,3072,0.0006527472124612791,PnPNovelFromCuttingboardToPotSplitA
left_arm,0.005386817423040416,0.044161878526210785,5.5179765457772086e-05,1792,0.007428308384670906,PnPNovelFromCuttingboardToPotSplitA
left_hand,0.00036190090637925704,0.00686269998550415,3.0958823750247913e-07,1536,0.0005564065397732841,PnPNovelFromCuttingboardToPotSplitA
right_arm,0.005753978171014751,0.08338909596204758,6.457899769936948e-05,1792,0.008036105879054201,PnPNovelFromCuttingboardToPotSplitA
right_hand,0.00042915118645699596,0.004462480545043945,5.425696092494615e-07,1536,0.000736593245454682,PnPNovelFromCuttingboardToPotSplitA
waist,0.004004106333013624,0.056581512093544006,3.594570351720504e-05,768,0.0059954735857315755,PnPNovelFromCuttingboardToPotSplitA
arms,0.005777040815262678,0.08110976219177246,7.154022178259047e-05,3584,0.008458145292118744,PnPNovelFromCuttingboardToTieredbasketSplitA
hands,0.0004422332831950371,0.0063315629959106445,5.765713773087821e-07,3072,0.0007593229729889529,PnPNovelFromCuttingboardToTieredbasketSplitA
left_arm,0.0053467972785970885,0.08045527338981628,6.288226875936956e-05,1792,0.007929834094063353,PnPNovelFromCuttingboardToTieredbasketSplitA
left_hand,0.00037931632687104866,0.0063315629959106445,3.037506944269319e-07,1536,0.0005511358221227613,PnPNovelFromCuttingboardToTieredbasketSplitA
right_arm,0.006207284351928267,0.08110976219177246,8.019817480581135e-05,1792,0.008955343366159187,PnPNovelFromCuttingboardToTieredbasketSplitA
right_hand,0.0005051502395190255,0.005917787551879883,8.493920601906322e-07,1536,0.0009216246851026899,PnPNovelFromCuttingboardToTieredbasketSplitA
waist,0.004084673593752086,0.06823289394378662,4.639024341790464e-05,768,0.0068110383509348005,PnPNovelFromCuttingboardToTieredbasketSplitA
arms,0.005382134284088481,0.05200415849685669,5.245228266012068e-05,3584,0.007242394815261087,PnPNovelFromPlacematToBasketSplitA
hands,0.0003887654844068796,0.0048056840896606445,3.885371818780418e-07,3072,0.000623327507718087,PnPNovelFromPlacematToBasketSplitA
left_arm,0.005057620763896661,0.03614155948162079,4.7211010672431335e-05,1792,0.006871026900866517,PnPNovelFromPlacematToBasketSplitA
left_hand,0.0003658789234274688,0.004773080348968506,2.898681813061669e-07,1536,0.0005383940762175666,PnPNovelFromPlacematToBasketSplitA
right_arm,0.0057066478042803025,0.05200415849685669,5.769355464781003e-05,1792,0.007595627337344166,PnPNovelFromPlacematToBasketSplitA
right_hand,0.0004116520453862904,0.0048056840896606445,4.872061824499168e-07,1536,0.0006980015633577885,PnPNovelFromPlacematToBasketSplitA
waist,0.003422970049238453,0.023686185479164124,2.1055906557996645e-05,768,0.004588671546100967,PnPNovelFromPlacematToBasketSplitA
arms,0.006239423370386378,0.07111846655607224,7.294362127961197e-05,3584,0.008540703792991065,PnPNovelFromPlacematToBowlSplitA
hands,0.000465460118145226,0.007404446601867676,5.971784026941876e-07,3072,0.0007727731896838734,PnPNovelFromPlacematToBowlSplitA
left_arm,0.006228612693121249,0.05718810856342316,7.542342897645919e-05,1792,0.008684666313477979,PnPNovelFromPlacematToBowlSplitA
left_hand,0.00040090718781963613,0.003736257553100586,3.395485105476084e-07,1536,0.0005827079118628889,PnPNovelFromPlacematToBowlSplitA
right_arm,0.006250234047651507,0.07111846655607224,7.046381358276475e-05,1792,0.008394272665500255,PnPNovelFromPlacematToBowlSplitA
right_hand,0.0005300130484708158,0.007404446601867676,8.548082948407668e-07,1536,0.0009245584323560988,PnPNovelFromPlacematToBowlSplitA
waist,0.003632019681390375,0.061333730816841125,3.094578593348275e-05,768,0.0055628936654840665,PnPNovelFromPlacematToBowlSplitA
arms,0.005326657640206837,0.07019137591123581,5.086391944542759e-05,3584,0.007131894520071619,PnPNovelFromPlacematToPlateSplitA
hands,0.0004263147677837272,0.009023487567901611,5.062774907824552e-07,3072,0.0007115317918283449,PnPNovelFromPlacematToPlateSplitA
left_arm,0.00499490568004798,0.027791403234004974,4.230135820195624e-05,1792,0.0065039494310731106,PnPNovelFromPlacematToPlateSplitA
left_hand,0.00040216999817251536,0.009023487567901611,3.601579249239507e-07,1536,0.0006001315896734238,PnPNovelFromPlacematToPlateSplitA
right_arm,0.005658409600365693,0.07019137591123581,5.942648068889895e-05,1792,0.007708857288139336,PnPNovelFromPlacematToPlateSplitA
right_hand,0.000450459537394939,0.006991267204284668,6.523970566409597e-07,1536,0.0008077109982171591,PnPNovelFromPlacematToPlateSplitA
waist,0.0042609548739468055,0.06430508196353912,4.3598475158185095e-05,768,0.0066029141413610016,PnPNovelFromPlacematToPlateSplitA
arms,0.005188534110337579,0.03633400797843933,4.6493630733688216e-05,3584,0.006818623815234876,PnPNovelFromPlacematToTieredshelfSplitA
