mae,max_abs,mse,n_values,phase,rmse,task
0.003138763272667425,0.3486623466014862,3.1380648724374235e-05,245456,traj_q2,0.005601843332723099,PnPNovelFromCuttingboardToBasketSplitA
0.003209839595958368,0.20862770080566406,3.243807093661582e-05,225504,traj_q3,0.005695442997398518,PnPNovelFromCuttingboardToBasketSplitA
0.003111124817488402,0.20113274455070496,2.9902520151354673e-05,252880,traj_q4,0.00546831968262232,PnPNovelFromCuttingboardToBasketSplitA
0.0031293231399169004,0.1564045548439026,3.0706445288331185e-05,248704,traj_q1,0.005541339665489852,PnPNovelFromCuttingboardToCardboardboxSplitA
0.003331204383571959,0.08163942396640778,3.1781256386027297e-05,224576,traj_q2,0.005637486708279435,PnPNovelFromCuttingboardToCardboardboxSplitA
0.0031349513752634015,0.10205692052841187,2.782327564673845e-05,249632,traj_q3,0.0052747773077864105,PnPNovelFromCuttingboardToCardboardboxSplitA
0.003216627862367383,0.09716767072677612,2.8731794091287975e-05,227360,traj_q4,0.005360204668787188,PnPNovelFromCuttingboardToCardboardboxSplitA
0.0031879058315903166,0.2284253090620041,3.534790524917995e-05,219008,traj_q1,0.005945410435720982,PnPNovelFromCuttingboardToPanSplitA
0.0033769235768776663,0.08020558953285217,3.234062684314449e-05,253808,traj_q2,0.005686881996590442,PnPNovelFromCuttingboardToPanSplitA
0.003067240932418726,0.10217761993408203,2.5773993712457506e-05,222256,traj_q3,0.0050768094028097515,PnPNovelFromCuttingboardToPanSplitA
0.0030273171627232002,0.05807755887508392,2.3954299999057627e-05,255200,traj_q4,0.004894313026264015,PnPNovelFromCuttingboardToPanSplitA
0.003275719384908814,0.10794629901647568,3.428370989928792e-05,235712,traj_q1,0.0058552292781143865,PnPNovelFromCuttingboardToPotSplitA
0.0034779907580725915,0.08497026562690735,3.443212611903375e-05,238032,traj_q2,0.00586788940923683,PnPNovelFromCuttingboardToPotSplitA
0.0030908910076460727,0.12604385614395142,2.5766233061565185e-05,234784,traj_q3,0.005076045021625122,PnPNovelFromCuttingboardToPotSplitA
0.0032758953728490308,0.18281906843185425,3.3807626083688755e-05,241744,traj_q4,0.005814432567644821,PnPNovelFromCuttingboardToPotSplitA
0.002944896436814807,0.13006076216697693,2.64216357544513e-05,255664,traj_q1,0.005140198026773998,PnPNovelFromCuttingboardToTieredbasketSplitA
0.0031813103633054384,0.07158096134662628,2.7749065728351037e-05,220400,traj_q2,0.005267738198539392,PnPNovelFromCuttingboardToTieredbasketSplitA
0.0029545184903457247,0.12149333953857422,2.3326001318668814e-05,256128,traj_q3,0.00482969992014709,PnPNovelFromCuttingboardToTieredbasketSplitA
0.0030988573556733397,0.13693112134933472,2.6837597455929708e-05,218080,traj_q4,0.005180501660643466,PnPNovelFromCuttingboardToTieredbasketSplitA
0.003206801972372948,0.13390189409255981,3.171488328000492e-05,226432,traj_q1,0.005631596867674827,PnPNovelFromPlacematToBasketSplitA
0.003108339089857284,0.08401478826999664,2.7115422223370667e-05,247776,traj_q2,0.005207247086836831,PnPNovelFromPlacematToBasketSplitA
0.0031094300422336335,0.08649197220802307,2.6947699341747186e-05,226432,traj_q3,0.0051911173500266,PnPNovelFromPlacematToBasketSplitA
0.003113502774492217,0.05817908048629761,2.657522558899332e-05,249632,traj_q4,0.00515511644766569,PnPNovelFromPlacematToBasketSplitA
0.0029730771472184525,0.08525845408439636,2.563334853401929e-05,251024,traj_q1,0.005062938725090329,PnPNovelFromPlacematToBowlSplitA
0.0034812728275328206,0.0716327428817749,3.4425859630847465e-05,219936,traj_q2,0.005867355420532104,PnPNovelFromPlacematToBowlSplitA
0.002916717914492016,0.10304579138755798,2.2442947772748063e-05,256128,traj_q3,0.0047373988403709546,PnPNovelFromPlacematToBowlSplitA
0.0032451512725861077,0.07632356882095337,2.9696897612617493e-05,223184,traj_q4,0.005449485995267581,PnPNovelFromPlacematToBowlSplitA
0.0031665749126049973,0.11628895998001099,3.1164487481524685e-05,232000,traj_q1,0.005582516232087882,PnPNovelFromPlacematToPlateSplitA
0.0034107040557989753,0.07103227078914642,3.302417736312162e-05,244064,traj_q2,0.005746666630588694,PnPNovelFromPlacematToPlateSplitA
0.002972745388776792,0.2739177346229553,2.6627864736064036e-05,229680,traj_q3,0.005160219446502642,PnPNovelFromPlacematToPlateSplitA
0.0030569728196493157,0.06258934736251831,2.5124707415200747e-05,244528,traj_q4,0.005012455228249001,PnPNovelFromPlacematToPlateSplitA
0.0030158105434230156,0.11371062695980072,2.907424889696228e-05,227360,traj_q1,0.005392054237205175,PnPNovelFromPlacematToTieredshelfSplitA
0.0032020595306596566,0.08481419086456299,2.8432534510420508e-05,242208,traj_q2,0.005332216660116176,PnPNovelFromPlacematToTieredshelfSplitA
0.0027236836466996,0.0642775297164917,1.9270983637147005e-05,231536,traj_q3,0.004389872849769912,PnPNovelFromPlacematToTieredshelfSplitA
0.003024487626021671,0.1547056883573532,2.5818090899703538e-05,249168,traj_q4,0.005081150548813087,PnPNovelFromPlacematToTieredshelfSplitA
0.0029368591080516015,0.08961623162031174,2.5050594176186797e-05,226432,traj_q1,0.005005056860434934,PnPNovelFromPlateToBowlSplitA
0.0034507765596323943,0.07820302248001099,3.370965293944121e-05,241280,traj_q2,0.005806001458787382,PnPNovelFromPlateToBowlSplitA
0.0028826677413209528,0.07243093848228455,2.1380019115900572e-05,229216,traj_q3,0.004623853275775581,PnPNovelFromPlateToBowlSplitA
0.0031818038986764076,0.07696154713630676,2.7858114113806295e-05,253344,traj_q4,0.005278078638463649,PnPNovelFromPlateToBowlSplitA
