group,mae,max_abs,mse,n_values,rmse,task
waist,0.0033442176849263205,0.09312167763710022,2.2329792439182195e-05,98304,0.0047254409782772865,PnPNovelFromPlacematToTieredshelfSplitA
arms,0.005342291373022937,0.07820302248001099,5.0541438362407296e-05,458752,0.007109250196920017,PnPNovelFromPlateToBowlSplitA
hands,0.0004086743559958232,0.012175798416137695,4.227434578521109e-07,393216,0.0006501872483001423,PnPNovelFromPlateToBowlSplitA
left_arm,0.0050354948952274926,0.07228152453899384,4.541706670051242e-05,229376,0.006739218552659679,PnPNovelFromPlateToBowlSplitA
left_hand,0.00036948858254959305,0.008507072925567627,2.8208494954265176e-07,196608,0.000531116700493076,PnPNovelFromPlateToBowlSplitA
right_arm,0.005649087850818381,0.07820302248001099,5.566581002430239e-05,229376,0.0074609523537080965,PnPNovelFromPlateToBowlSplitA
right_hand,0.0004478601294420533,0.012175798416137695,5.634019661615707e-07,196608,0.0007506010699176831,PnPNovelFromPlateToBowlSplitA
waist,0.0035905212223212857,0.08961623162031174,2.4534447248283116e-05,98304,0.004953225943593036,PnPNovelFromPlateToBowlSplitA
arms,0.005519947892811564,0.13712641596794128,5.576036027974176e-05,458752,0.007467286004951315,PnPNovelFromPlateToCardboardboxSplitA
hands,0.00041818641325486183,0.020130515098571777,4.716186581450542e-07,393216,0.0006867449731487331,PnPNovelFromPlateToCardboardboxSplitA
left_arm,0.005201193753197371,0.12054283916950226,4.993946018907992e-05,229376,0.007066785704199606,PnPNovelFromPlateToCardboardboxSplitA
left_hand,0.00039437759139104855,0.017580091953277588,3.1889703441270883e-07,196608,0.000564709690383217,PnPNovelFromPlateToCardboardboxSplitA
right_arm,0.005838702032425758,0.13712641596794128,6.158126037040352e-05,229376,0.007847372832381773,PnPNovelFromPlateToCardboardboxSplitA
right_hand,0.0004419952351186751,0.020130515098571777,6.243402818774016e-07,196608,0.0007901520625027828,PnPNovelFromPlateToCardboardboxSplitA
waist,0.003699364529069271,0.19467873871326447,2.8757325498489635e-05,98304,0.0053625857101299215,PnPNovelFromPlateToCardboardboxSplitA
arms,0.0054311494081135114,0.16904056072235107,5.4388433465324434e-05,458752,0.007374851419881246,PnPNovelFromPlateToPanSplitA
hands,0.00040954507823013725,0.012963533401489258,4.312342801324226e-07,393216,0.00065668430781649,PnPNovelFromPlateToPanSplitA
left_arm,0.005056581856115937,0.0843527689576149,4.613594978749895e-05,229376,0.006792344940261717,PnPNovelFromPlateToPanSplitA
left_hand,0.0003683807049602213,0.012963533401489258,2.8792325726077027e-07,196608,0.0005365848090104399,PnPNovelFromPlateToPanSplitA
