step,series,action_loss,token_accuracy
31250,当前重启 E256,1.6832799261266536,0.4584860557859594
31500,当前重启 E256,1.6803378083489158,0.46010124683380127
31750,当前重启 E256,1.6692781123248013,0.4633831869472157
32000,当前重启 E256,1.6659730130975896,0.46439124779267743
32250,当前重启 E256,1.6786205551841042,0.4616820758039301
32500,当前重启 E256,1.676549337126992,0.4619799175045707
32750,当前重启 E256,1.6765373186631636,0.46047928116538306
33000,当前重启 E256,1.6707256165417759,0.46289634162729437
33250,当前重启 E256,1.6653448776765303,0.4630681655623696
33500,当前重启 E256,1.6492681828412143,0.46648756753314624
33750,当前重启 E256,1.63713492046703,0.4718772768974304
34000,当前重启 E256,1.6532577601346103,0.4686125245961276
34250,当前重启 E256,1.6621609384363347,0.4660751792517575
34500,当前重启 E256,1.6639787392182783,0.46495256098833954
34750,当前重启 E256,1.665452935478904,0.46499838070435956
35000,当前重启 E256,1.6633473851464011,0.46515876054763794
35250,当前重启 E256,1.6775425564159046,0.4604277285662564
35500,当前重启 E256,1.6737163175236096,0.4607541994615035
35750,当前重启 E256,1.6653503504666416,0.46439124779267743
36000,当前重启 E256,1.6503297740762883,0.4693055667660453
36250,当前重启 E256,1.6487936540083452,0.4689905480905013
36500,当前重启 E256,1.6575541496276855,0.46607517383315344
36750,当前重启 E256,1.6653747016733342,0.464139231226661
37000,当前重启 E256,1.6628905751488425,0.463858580047434
37250,当前重启 E256,1.6615896983580156,0.4642423310063102
37500,当前重启 E256,1.6519719362258911,0.46749563108791004
37750,当前重启 E256,1.6562865539030596,0.4663901979273016
38000,当前重启 E256,1.6620035713369197,0.4650900255550038
38250,当前重启 E256,1.6605491963299839,0.4661152715032751
38500,当前重启 E256,1.660415454344316,0.46616681868379767
38750,当前重启 E256,1.6568936759775335,0.4680053916844455
39000,当前重启 E256,1.643813740123402,0.47113268212838605
39250,当前重启 E256,1.632265947081826,0.47436879710717633
39500,当前重启 E256,1.6505276506597346,0.46795956925912335
39750,当前重启 E256,1.6602547818964177,0.4647921919822693
40000,当前重启 E256,1.6491053754633123,0.468538067557595
40250,当前重启 E256,1.651267864487388,0.468314682895487
40500,当前重启 E256,1.6546060171994297,0.46751853823661804
40750,当前重启 E256,1.655277598987926,0.465811702338132
41000,当前重启 E256,1.6540044004266912,0.46761018579656427
41250,当前重启 E256,1.6529808803038164,0.4673753570426594
41500,当前重启 E256,1.6421093507246538,0.4692769321528348
41750,当前重启 E256,1.6463173302737149,0.4682631384242665
42000,当前重启 E256,1.6503946347670122,0.46718061512166803
42250,当前重启 E256,1.6393775398080999,0.46939148144288495
42500,当前重启 E256,1.638715473088351,0.4697351401502436
42750,当前重启 E256,1.6445248885588213,0.46975805271755566
43000,当前重启 E256,1.6398611502213911,0.47106395255435596
43250,当前重启 E256,1.6355784697966143,0.47336646101691504
43500,当前重启 E256,1.642011371525851,0.4716538976539265
43750,当前重启 E256,1.6395292715592817,0.4729827073487369
44000,当前重启 E256,1.6279386498711326,0.47504465959288855
44250,当前重启 E256,1.6286055174740879,0.47472964091734454
44500,当前重启 E256,1.6266831701452082,0.4745692664926702
44750,当前重启 E256,1.63488629731265,0.4725817767056552
45000,当前重启 E256,1.6319674470207908,0.4743458899584683
45250,当前重启 E256,1.6299353079362349,0.47504465959288855
45500,当前重启 E256,1.6373407949100842,0.47364711490544403
45750,当前重启 E256,1.634797529740767,0.4726161442019723
46000,当前重启 E256,1.6225226250561802,0.4765853990208019
46250,当前重启 E256,1.620197827165777,0.477519002827731
46500,当前重启 E256,1.6247795061631636,0.4754914180798964
46750,当前重启 E256,1.6172421953894875,0.47739299589937384
47000,当前重启 E256,1.6272253339940852,0.4746036339889873
47250,当前重启 E256,1.6196881857785312,0.47560023990544403
47500,当前重启 E256,1.6161501732739536,0.47698632966388355
47750,当前重启 E256,1.6202485019510442,0.47696914727037604
48000,当前重启 E256,1.6188246228478171,0.4770836965604262
48250,当前重启 E256,1.6250131346962668,0.47448334910652856
48500,当前重启 E256,1.6314625848423352,0.47376167232340033
48750,当前重启 E256,1.6173286004499956,0.47706651958552276
49000,当前重启 E256,1.613363807851618,0.47797720811583777
49250,当前重启 E256,1.620633526281877,0.47583506865934894
49500,当前重启 E256,1.6350064277648926,0.4722266576506875
49750,当前重启 E256,1.6231598962437024,0.47682022777470673
50000,当前重启 E256,1.5982039299878208,0.4824504987760024
50250,当前重启 E256,1.6011792854829268,0.4810415045781569
50500,当前重启 E256,1.6035403338345615,0.4794950376857411
50750,当前重启 E256,1.5990829251029275,0.4826681478457017
51000,当前重启 E256,1.6059381745078347,0.4814424352212386
51250,当前重启 E256,1.600751887668263,0.48198083584958856
51500,当前重启 E256,1.609642971645702,0.47887072508985346
51750,当前重启 E256,1.624228997664018,0.4757606197487224
52000,当前重启 E256,1.6127213673158125,0.4781662307002328
52250,当前重启 E256,1.6139143813740124,0.4784010648727417
52500,当前重启 E256,1.6103086254813455,0.47934612360867584
52750,当前重启 E256,1.6092917702414773,0.47938048297708685
53000,当前重启 E256,1.6091485890475186,0.4807551150972193
53250,当前重启 E256,1.6022954420609907,0.4817918213930997
53500,当前重启 E256,1.5958860028873791,0.4833382855762135
53750,当前重启 E256,1.5971367250789295,0.48343565518205817
54000,当前重启 E256,1.602794354612177,0.4811675087972121
54250,当前重启 E256,1.6090522029183127,0.47766791690479626
54500,当前重启 E256,1.6091240861199119,0.47816622257232666
54750,当前重启 E256,1.6020594401793047,0.48084103248336096
55000,当前重启 E256,1.6016105521808972,0.48145962032404815
55250,当前重启 E256,1.5993431589820168,0.4828972572630102
55500,当前重启 E256,1.5805172595110806,0.48786884817210113
55750,当前重启 E256,1.5784202272241765,0.48811513456431305
56000,当前重启 E256,1.588840289549394,0.4865686676718972
56250,当前重启 E256,1.5881511623209172,0.4871700704097748
56500,当前重启 E256,1.584673198786649,0.48710706559094513
56750,当前重启 E256,1.5959417386488481,0.4836074791171334
